Number_added,Name_orginial,Author,Reviews_count,User_rating,Price,Year,Genre,Title_upper,Series,Series_number,Author_upper,LastName_first_no_titlesDRJR,Audience,Adult_interest,Title_word_count,Author_count_all,Authors_last_three
462,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,"2,122",4.6,$15.79,2010,Fiction,THE SHORT SECOND LIFE OF BREE TANNER: AN ECLIPSE NOVELLA,The Twilight Saga,3.5,STEPHENIE MEYER,"MEYER, STEPHENIE",YA,Not_adult,13,7,0
501,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,"11,128",4.6,$23.00,2014,Non Fiction,THUG KITCHEN: THE OFFICIAL COOKBOOK: EAT LIKE YOU GIVE A F*CK,Thug Kitchen Cookbooks,,THUG KITCHEN,"KITCHEN, THUG",Adult,Adult,14,4,0
502,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,"11,128",4.6,$23.00,2015,Non Fiction,THUG KITCHEN: THE OFFICIAL COOKBOOK: EAT LIKE YOU GIVE A F*CK,Thug Kitchen Cookbooks,,THUG KITCHEN,"KITCHEN, THUG",Adult,Adult,14,4,0
503,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,"11,128",4.6,$23.00,2016,Non Fiction,THUG KITCHEN: THE OFFICIAL COOKBOOK: EAT LIKE YOU GIVE A F*CK,Thug Kitchen Cookbooks,,THUG KITCHEN,"KITCHEN, THUG",Adult,Adult,14,4,0
170,How to Win Friends & Influence People,Dale Carnegie,"25,001",4.7,$11.00,2017,Non Fiction,HOW TO WIN FRIENDS & INFLUENCE PEOPLE,(blank),,DALE CARNEGIE,"CARNEGIE, DALE",Adult,Adult,7,5,5
171,How to Win Friends & Influence People,Dale Carnegie,"25,001",4.7,$11.00,2018,Non Fiction,HOW TO WIN FRIENDS & INFLUENCE PEOPLE,(blank),,DALE CARNEGIE,"CARNEGIE, DALE",Adult,Adult,7,5,5
289,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,"7,150",4.9,$12.00,2013,Fiction,RUSH REVERE AND THE BRAVE PILGRIMS,TIME-TRAVEL ADVENTURES WITH EXCEPTIONAL AMERICANS,1,RUSH LIMBAUGH,"LIMBAUGH, RUSH",YA,Not_adult,11,2,0
290,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,"3,836",4.9,$12.00,2014,Fiction,RUSH REVERE AND THE FIRST PATRIOTS,TIME-TRAVEL ADVENTURES WITH EXCEPTIONAL AMERICANS,2,RUSH LIMBAUGH,"LIMBAUGH, RUSH",YA,Not_adult,11,2,0
93,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,956,4.3,$14.00,2009,Non Fiction,"EAT THIS, NOT THAT! THOUSANDS OF SIMPLE FOOD SWAPS THAT CAN SAVE YOU 10, 20, 30 POUNDS--OR MORE!",(blank),,DAVID ZINCZENKO,"ZINCZENKO, DAVID",Adult,Adult,18,2,0
96,Eclipse (Twilight SAGA),Stephenie Meyer,"5,505",4.7,$7.00,2009,Fiction,ECLIPSE,The Twilight Saga,3,STEPHENIE MEYER,"MEYER, STEPHENIE",YA,Not_adult,3,7,0
132,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,"1,365",4.6,$11.00,2009,Non Fiction,"GLENN BECK'S COMMON SENSE: THE CASE AGAINST AN OUT-OF-CONTROL GOVERNMENT, INSPIRED BY THOMAS PAINE",(blank),,GLENN BECK,"BECK, GLENN",Adult,Adult,14,3,0
135,Going Rogue: An American Life,Sarah Palin,"1,636",4.6,$6.00,2009,Non Fiction,GOING ROGUE: AN AMERICAN LIFE,(blank),,SARAH PALIN,"PALIN, SARAH",Adult,Adult,5,1,0
140,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,"3,457",4.5,$14.00,2009,Non Fiction,GOOD TO GREAT: WHY SOME COMPANIES MAKE THE LEAP AND OTHERS DON'T,(blank),,JIM COLLINS,"COLLINS, JIM",Adult,Adult,12,4,0
328,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"25,554",4.8,$8.00,2017,Non Fiction,THE 5 LOVE LANGUAGES: THE SECRET TO LOVE THAT LASTS,5 Love Languages,,GARY CHAPMAN,"CHAPMAN, GARY",Adult,Adult,10,11,11
512,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,"2,282",4.8,$21.00,2010,Fiction,TOWERS OF MIDNIGHT,Wheel of Time,13,ROBERT JORDAN,"JORDAN, ROBERT",Adult,Adult,6,1,0
188,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,"19,576",4.9,$8.00,2011,Non Fiction,JESUS CALLING: ENJOYING PEACE IN HIS PRESENCE,(blank),,SARAH YOUNG,"YOUNG, SARAH",Adult,Adult,10,6,0
189,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,"19,576",4.9,$8.00,2012,Non Fiction,JESUS CALLING: ENJOYING PEACE IN HIS PRESENCE,(blank),,SARAH YOUNG,"YOUNG, SARAH",Adult,Adult,10,6,0
190,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,"19,576",4.9,$8.00,2013,Non Fiction,JESUS CALLING: ENJOYING PEACE IN HIS PRESENCE,(blank),,SARAH YOUNG,"YOUNG, SARAH",Adult,Adult,10,6,0
191,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,"19,576",4.9,$8.00,2014,Non Fiction,JESUS CALLING: ENJOYING PEACE IN HIS PRESENCE,(blank),,SARAH YOUNG,"YOUNG, SARAH",Adult,Adult,10,6,0
192,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,"19,576",4.9,$8.00,2015,Non Fiction,JESUS CALLING: ENJOYING PEACE IN HIS PRESENCE,(blank),,SARAH YOUNG,"YOUNG, SARAH",Adult,Adult,10,6,0
193,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,"19,576",4.9,$8.00,2016,Non Fiction,JESUS CALLING: ENJOYING PEACE IN HIS PRESENCE,(blank),,SARAH YOUNG,"YOUNG, SARAH",Adult,Adult,10,6,0
16,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,"2,313",4.5,$4.00,2016,Non Fiction,"ADULT COLORING BOOK DESIGNS: STRESS RELIEF COLORING BOOK: GARDEN DESIGNS, MANDALAS, ANIMALS, AND PAISLEY PATTERNS",(blank),,ADULT COLORING BOOK DESIGNS,ADULT COLORING BOOK DESIGNS,Adult,Adult,15,1,0
161,Have a Little Faith: A True Story,Mitch Albom,"1,930",4.8,$4.00,2009,Non Fiction,HAVE A LITTLE FAITH: A TRUE STORY,(blank),,MITCH ALBOM,"ALBOM, MITCH",Adult,Adult,7,1,0
270,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,"13,616",4.3,$10.00,2012,Non Fiction,PROOF OF HEAVEN: A NEUROSURGEON'S JOURNEY INTO THE AFTERLIFE,(blank),,EBEN ALEXANDER,"ALEXANDER, EBEN",Adult,Adult,9,2,0
271,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,"13,616",4.3,$10.00,2013,Non Fiction,PROOF OF HEAVEN: A NEUROSURGEON'S JOURNEY INTO THE AFTERLIFE,(blank),,EBEN ALEXANDER,"ALEXANDER, EBEN",Adult,Adult,9,2,0
70,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,"6,679",4.5,$105.00,2013,Non Fiction,"DIAGNOSTIC AND STATISTICAL MANUAL OF MENTAL DISORDERS, 5TH EDITION: DSM-5",(blank),,AMERICAN PSYCHIATRIC ASSOCIATION,AMERICAN PSYCHIATRIC ASSOCIATION,Adult,Adult,10,2,0
71,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,"6,679",4.5,$105.00,2014,Non Fiction,"DIAGNOSTIC AND STATISTICAL MANUAL OF MENTAL DISORDERS, 5TH EDITION: DSM-5",(blank),,AMERICAN PSYCHIATRIC ASSOCIATION,AMERICAN PSYCHIATRIC ASSOCIATION,Adult,Adult,10,2,0
178,"I, Alex Cross",James Patterson,"1,320",4.6,$7.00,2009,Fiction,"I, ALEX CROSS",Alex Cross,16,JAMES PATTERSON,"PATTERSON, JAMES",Adult,Adult,3,2,0
273,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2010,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,0
274,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2011,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,0
275,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2012,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,0
276,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2013,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,0
277,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2014,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,0
278,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2015,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,0
279,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2016,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,0
329,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"25,554",4.8,$8.00,2018,Non Fiction,THE 5 LOVE LANGUAGES: THE SECRET TO LOVE THAT LASTS,5 Love Languages,,GARY CHAPMAN,"CHAPMAN, GARY",Adult,Adult,10,11,11
330,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"25,554",4.8,$8.00,2019,Non Fiction,THE 5 LOVE LANGUAGES: THE SECRET TO LOVE THAT LASTS,5 Love Languages,,GARY CHAPMAN,"CHAPMAN, GARY",Adult,Adult,10,11,11
124,Giraffes Can't Dance,Giles Andreae,"14,038",4.8,$4.00,2015,Fiction,GIRAFFES CAN'T DANCE,(blank),,GILES ANDREAE,"ANDREAE, GILES",CH,Not_adult,3,5,0
125,Giraffes Can't Dance,Giles Andreae,"14,038",4.8,$4.00,2016,Fiction,GIRAFFES CAN'T DANCE,(blank),,GILES ANDREAE,"ANDREAE, GILES",CH,Not_adult,3,5,0
287,Ready Player One: A Novel,Ernest Cline,"22,536",4.6,$12.00,2017,Fiction,READY PLAYER ONE: A NOVEL,(Ready Player One),,ERNEST CLINE,"CLINE, ERNEST",Adult,Adult,5,2,2
288,Ready Player One: A Novel,Ernest Cline,"22,536",4.6,$12.00,2018,Fiction,READY PLAYER ONE: A NOVEL,(Ready Player One),,ERNEST CLINE,"CLINE, ERNEST",Adult,Adult,5,2,2
527,What Happened,Hillary Rodham Clinton,"5,492",4.6,$18.00,2017,Non Fiction,WHAT HAPPENED,(blank),,HILLARY RODHAM CLINTON,"CLINTON, RODHAM HILLARY",Adult,Adult,2,1,1
9,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,"5,983",4.7,$3.00,2018,Non Fiction,"A HIGHER LOYALTY: TRUTH, LIES, AND LEADERSHIP",(blank),,JAMES COMEY,"COMEY, JAMES",Adult,Adult,7,1,1
338,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"4,725",4.7,$16.00,2017,Non Fiction,THE 7 HABITS OF HIGHLY EFFECTIVE PEOPLE: POWERFUL LESSONS IN PERSONAL CHANGE,(blank),,STEPHEN R. COVEY,"COVEY, R. STEPHEN",Adult,Adult,12,7,7
10,A Man Called Ove: A Novel,Fredrik Backman,"23,848",4.6,$8.00,2016,Fiction,A MAN CALLED OVE: A NOVEL,(blank),,FREDRIK BACKMAN,"BACKMAN, FREDRIK",Adult,Adult,6,2,0
452,The Pout-Pout Fish,Deborah Diesen,"9,784",4.8,$5.00,2017,Fiction,THE POUT-POUT FISH,(blank),,DEBORAH DIESEN,"DIESEN, DEBORAH",CH,Not_adult,3,2,2
217,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,"3,828",4.8,$15.00,2009,Non Fiction,LIBERTY AND TYRANNY: A CONSERVATIVE MANIFESTO,(blank),,MARK R. LEVIN,"LEVIN, R. MARK",Adult,Adult,6,2,0
229,"Mastering the Art of French Cooking, Vol. 2",Julia Child,"2,926",4.8,$27.00,2009,Non Fiction,"MASTERING THE ART OF FRENCH COOKING, VOL. 2",(blank),,JULIA CHILD,"CHILD, JULIA",Adult,Adult,8,1,0
40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,471,4.5,$8.00,2010,Non Fiction,"BROKE: THE PLAN TO RESTORE OUR TRUST, TRUTH AND TREASURE",(blank),,GLENN BECK,"BECK, GLENN",Adult,Adult,10,3,0
242,New Moon (The Twilight Saga),Stephenie Meyer,"5,680",4.6,$10.00,2009,Fiction,NEW MOON,The Twilight Saga,2,STEPHENIE MEYER,"MEYER, STEPHENIE",YA,Not_adult,4,7,0
223,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,"1,649",4.2,$13.00,2011,Non Fiction,"LOVE WINS: A BOOK ABOUT HEAVEN, HELL, AND THE FATE OF EVERY PERSON WHO EVER LIVED",(blank),,ROB BELL,"BELL, ROB",Adult,Adult,16,1,0
17,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,"2,925",4.6,$6.00,2015,Non Fiction,ADULT COLORING BOOK: STRESS RELIEVING ANIMAL DESIGNS,(blank),,BLUE STAR COLORING,BLUE STAR COLORING,Adult,Adult,7,2,0
18,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,"2,951",4.4,$6.00,2015,Non Fiction,ADULT COLORING BOOK: STRESS RELIEVING PATTERNS,(blank),,BLUE STAR COLORING,BLUE STAR COLORING,Adult,Adult,6,2,0
453,The Pout-Pout Fish,Deborah Diesen,"9,784",4.8,$5.00,2018,Fiction,THE POUT-POUT FISH,(blank),,DEBORAH DIESEN,"DIESEN, DEBORAH",CH,Not_adult,3,2,2
391,The Going-To-Bed Book,Sandra Boynton,"5,249",4.8,$5.00,2016,Fiction,THE GOING-TO-BED BOOK,(blank),,SANDRA BOYNTON,"BOYNTON, SANDRA",CH,Not_adult,3,2,0
213,Laugh-Out-Loud Jokes for Kids,Rob Elliott,"6,990",4.6,$4.00,2017,Non Fiction,LAUGH-OUT-LOUD JOKES FOR KIDS,Laugh-Out-Loud Jokes for Kids,,ROB ELLIOTT,"ELLIOTT, ROB",CH,Not_adult,4,8,8
101,Fahrenheit 451,Ray Bradbury,"10,721",4.6,$8.00,2016,Fiction,FAHRENHEIT 451,(blank),,RAY BRADBURY,"BRADBURY, RAY",Adult,Adult,2,2,0
511,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,"4,360",4.6,$21.00,2017,Non Fiction,"TOOLS OF TITANS: THE TACTICS, ROUTINES, AND HABITS OF BILLIONAIRES, ICONS, AND WORLD-CLASS PERFORMERS",(blank),,TIMOTHY FERRISS,"FERRISS, TIMOTHY",Adult,Adult,14,2,2
176,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"4,896",4.7,$17.00,2013,Non Fiction,"HYPERBOLE AND A HALF: UNFORTUNATE SITUATIONS, FLAWED COPING MECHANISMS, MAYHEM, AND OTHER THINGS THAT HAPPENED",(blank),,ALLIE BROSH,"BROSH, ALLIE",Adult,Adult,15,1,0
59,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,"1,329",4.8,$10.00,2013,Non Fiction,"DARING GREATLY: HOW THE COURAGE TO BE VULNERABLE TRANSFORMS THE WAY WE LIVE, LOVE, PARENT, AND LEAD",(blank),,BRENÉ BROWN,"BROWN, BRENÉ",Adult,Adult,17,1,0
183,Inferno,Dan Brown,"29,651",4.1,$14.00,2013,Fiction,INFERNO,(blank),,DAN BROWN,"BROWN, DAN",Adult,Adult,1,3,0
255,Olive Kitteridge,Elizabeth Strout,"4,519",4.2,$12.00,2009,Fiction,OLIVE KITTERIDGE,(blank),,ELIZABETH STROUT,"STROUT, ELIZABETH",Adult,Adult,2,1,0
352,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"23,358",4.8,$12.00,2014,Non Fiction,THE BOYS IN THE BOAT: NINE AMERICANS AND THEIR EPIC QUEST FOR GOLD AT THE 1936 BERLIN OLYMPICS,(blank),,DANIEL JAMES BROWN,"BROWN, JAMES DANIEL",Adult,Adult,18,2,0
353,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,"23,358",4.8,$12.00,2015,Non Fiction,THE BOYS IN THE BOAT: NINE AMERICANS AND THEIR EPIC QUEST FOR GOLD AT THE 1936 BERLIN OLYMPICS,(blank),,DANIEL JAMES BROWN,"BROWN, JAMES DANIEL",Adult,Adult,18,2,0
166,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,"3,776",4.8,$22.00,2018,Non Fiction,HOMEBODY: A GUIDE TO CREATING SPACES YOU NEVER WANT TO LEAVE,(blank),,JOANNA GAINES,"GAINES, JOANNA",Adult,Adult,11,2,2
226,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,"9,867",4.8,$16.00,2018,Non Fiction,MAGNOLIA TABLE: A COLLECTION OF RECIPES FOR GATHERING,(blank),,JOANNA GAINES,"GAINES, JOANNA",Adult,Adult,8,2,2
313,StrengthsFinder 2.0,Gallup,"5,069",4.0,$17.00,2017,Non Fiction,STRENGTHSFINDER 2.0,(blank),,GALLUP,GALLUP,Adult,Adult,2,9,9
233,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,"3,113",4.4,$6.00,2017,Non Fiction,MILK AND VINE: INSPIRATIONAL QUOTES FROM CLASSIC VINES,(blank),,ADAM GASIEWSKI,"GASIEWSKI, ADAM",Adult,Adult,8,1,1
162,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,"15,779",4.7,$10.00,2011,Non Fiction,HEAVEN IS FOR REAL: A LITTLE BOY'S ASTOUNDING STORY OF HIS TRIP TO HEAVEN AND BACK,(blank),,TODD BURPO,"BURPO, TODD",Adult,Adult,16,2,0
163,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,"15,779",4.7,$10.00,2012,Non Fiction,HEAVEN IS FOR REAL: A LITTLE BOY'S ASTOUNDING STORY OF HIS TRIP TO HEAVEN AND BACK,(blank),,TODD BURPO,"BURPO, TODD",Adult,Adult,16,2,0
68,Decision Points,George W. Bush,"2,137",4.6,$17.00,2010,Non Fiction,DECISION POINTS,(blank),,GEORGE W. BUSH,"BUSH, W. GEORGE",Adult,Adult,2,1,0
401,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,"11,098",4.6,$13.00,2012,Fiction,THE HARBINGER: THE ANCIENT MYSTERY THAT HOLDS THE SECRET OF AMERICA'S FUTURE,(blank),,JONATHAN CAHN,"CAHN, JONATHAN",Adult,Adult,12,1,0
283,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"10,009",4.6,$20.00,2012,Non Fiction,QUIET: THE POWER OF INTROVERTS IN A WORLD THAT CAN'T STOP TALKING,(blank),,SUSAN CAIN,"CAIN, SUSAN",Adult,Adult,12,2,0
284,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"10,009",4.6,$7.00,2013,Non Fiction,QUIET: THE POWER OF INTROVERTS IN A WORLD THAT CAN'T STOP TALKING,(blank),,SUSAN CAIN,"CAIN, SUSAN",Adult,Adult,12,2,0
64,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,"10,922",4.8,$5.00,2015,Fiction,DEAR ZOO: A LIFT-THE-FLAP BOOK,(blank),,ROD CAMPBELL,"CAMPBELL, ROD",CH,Not_adult,5,4,0
65,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,"10,922",4.8,$5.00,2016,Fiction,DEAR ZOO: A LIFT-THE-FLAP BOOK,(blank),,ROD CAMPBELL,"CAMPBELL, ROD",CH,Not_adult,5,4,0
45,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"16,244",4.8,$18.00,2019,Non Fiction,CAN'T HURT ME: MASTER YOUR MIND AND DEFY THE ODDS,(blank),,DAVID GOGGINS,"GOGGINS, DAVID",Adult,Adult,10,1,1
282,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,"4,757",4.8,$4.00,2017,Fiction,PUPPY BIRTHDAY TO YOU!,"Paw Patrol, Little Golden Book",,GOLDEN BOOKS,GOLDEN BOOKS,CH,Not_adult,9,1,1
355,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,"4,633",4.7,$21.00,2011,Non Fiction,THE CHINA STUDY: THE MOST COMPREHENSIVE STUDY OF NUTRITION EVER CONDUCTED AND THE STARTLING IMPLICATIONS FOR DIET…,(blank),,THOMAS CAMPBELL,"CAMPBELL, THOMAS",Adult,Adult,17,1,0
477,The Very Hungry Caterpillar,Eric Carle,"19,546",4.9,$5.00,2013,Fiction,THE VERY HUNGRY CATERPILLAR,(blank),,ERIC CARLE,"CARLE, ERIC",CH,Not_adult,4,7,0
478,The Very Hungry Caterpillar,Eric Carle,"19,546",4.9,$5.00,2014,Fiction,THE VERY HUNGRY CATERPILLAR,(blank),,ERIC CARLE,"CARLE, ERIC",CH,Not_adult,4,7,0
479,The Very Hungry Caterpillar,Eric Carle,"19,546",4.9,$5.00,2015,Fiction,THE VERY HUNGRY CATERPILLAR,(blank),,ERIC CARLE,"CARLE, ERIC",CH,Not_adult,4,7,0
480,The Very Hungry Caterpillar,Eric Carle,"19,546",4.9,$5.00,2016,Fiction,THE VERY HUNGRY CATERPILLAR,(blank),,ERIC CARLE,"CARLE, ERIC",CH,Not_adult,4,7,0
196,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"8,393",4.6,$17.00,2017,Non Fiction,KILLERS OF THE FLOWER MOON: THE OSAGE MURDERS AND THE BIRTH OF THE FBI,(blank),,DAVID GRANN,"GRANN, DAVID",Adult,Adult,14,1,1
398,The Guardians: A Novel,John Grisham,"13,609",4.5,$14.00,2019,Fiction,THE GUARDIANS: A NOVEL,(blank),,JOHN GRISHAM,"GRISHAM, JOHN",Adult,Adult,4,5,5
450,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,"3,601",4.5,$18.00,2018,Non Fiction,"THE PLANT PARADOX COOKBOOK: 100 DELICIOUS RECIPES TO HELP YOU LOSE WEIGHT, HEAL YOUR GUT, AND LIVE LECTIN-FREE",(blank),,STEVEN R GUNDRY,"GUNDRY, STEVEN R.",Adult,Adult,18,1,2
451,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,"7,058",4.4,$17.00,2018,Non Fiction,"THE PLANT PARADOX: THE HIDDEN DANGERS IN ""HEALTHY"" FOODS THAT CAUSE DISEASE AND WEIGHT GAIN",(blank),,STEVEN R GUNDRY,"GUNDRY, STEVEN R.",Adult,Adult,15,1,2
167,How to Win Friends & Influence People,Dale Carnegie,"25,001",4.7,$11.00,2014,Non Fiction,HOW TO WIN FRIENDS & INFLUENCE PEOPLE,(blank),,DALE CARNEGIE,"CARNEGIE, DALE",Adult,Adult,7,5,0
168,How to Win Friends & Influence People,Dale Carnegie,"25,001",4.7,$11.00,2015,Non Fiction,HOW TO WIN FRIENDS & INFLUENCE PEOPLE,(blank),,DALE CARNEGIE,"CARNEGIE, DALE",Adult,Adult,7,5,0
169,How to Win Friends & Influence People,Dale Carnegie,"25,001",4.7,$11.00,2016,Non Fiction,HOW TO WIN FRIENDS & INFLUENCE PEOPLE,(blank),,DALE CARNEGIE,"CARNEGIE, DALE",Adult,Adult,7,5,0
129,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,"7,660",4.6,$12.00,2019,Non Fiction,"GIRL, STOP APOLOGIZING: A SHAME-FREE PLAN FOR EMBRACING AND ACHIEVING YOUR GOALS","Girl, Wash Your Face",,RACHEL HOLLIS,"HOLLIS, RACHEL",Adult,Adult,12,3,3
131,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,"22,288",4.6,$12.00,2019,Non Fiction,"GIRL, WASH YOUR FACE: STOP BELIEVING THE LIES ABOUT WHO YOU ARE SO YOU CAN BECOME WHO YOU WERE MEANT TO BE","Girl, Wash Your Face",,RACHEL HOLLIS,"HOLLIS, RACHEL",Adult,Adult,22,3,3
261,Outliers: The Story of Success,Malcolm Gladwell,"10,426",4.6,$20.00,2009,Non Fiction,OUTLIERS: THE STORY OF SUCCESS,(blank),,MALCOLM GLADWELL,"GLADWELL, MALCOLM",Adult,Adult,5,4,0
52,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,"1,542",4.7,$14.00,2010,Non Fiction,CRAZY LOVE: OVERWHELMED BY A RELENTLESS GOD,(blank),,FRANCIS CHAN,"CHAN, FRANCIS",Adult,Adult,7,3,0
53,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,"1,542",4.7,$14.00,2011,Non Fiction,CRAZY LOVE: OVERWHELMED BY A RELENTLESS GOD,(blank),,FRANCIS CHAN,"CHAN, FRANCIS",Adult,Adult,7,3,0
321,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,"3,477",4.7,$28.00,2010,Non Fiction,THE 5 LOVE LANGUAGES: THE SECRET TO LOVE THAT LASTS,5 Love Languages,,GARY CHAPMAN,"CHAPMAN, GARY",Adult,Adult,10,11,0
